SISTEMA,CENTRO DE CONTROL REGIONAL,ZONA DE CARGA,CLAVE,NOMBRE,NIVEL DE TENSIÓN (kV),DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,DIRECTAMENTE MODELADA,INDIRECTAMENTE MODELADA,ZONA DE OPERACIÓN DE TRANSMISIÓN,GERENCIA REGIONAL DE TRANSMISIÓN,ZONA DE DISTRIBUCIÓN,GERENCIA DIVISIONAL DE DISTRIBUCIÓN,CLAVE DE ENTIDAD FEDERATIVA (INEGI),ENTIDAD FEDERATIVA (INEGI),CLAVE DE MUNICIPIO (INEGI),MUNICIPIO (INEGI),REGION DE TRANSMISION
BCA,BAJA CALIFORNIA,ENSENADA,07SVE-115,San Vicente,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,1,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07TRI-115,Valle de Trinidad,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,1,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,ENSENADA,07VLP-69,Valle de Guadalupe,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,1,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,MEXICALI,07APD-230,Aeropuerto Dos,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CNT-230,Centenario,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CNZ-161,Carranza,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPC-161,Cerro Prieto Cuatro,161,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPD-230,Cerro Prieto Dos,230,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPT-230,Cerro Prieto Tres,230,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CPU-161,Cerro Prieto Uno,161,Directamente Modelada,Indirectamente Modelada,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CRO-161,Centro,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CSC-230,Compañia Siderurgica California,230,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CTY-161,Cetys,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07CTY-230,Cetys,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07FEV-161,FEVISA,161,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07GOR-161,Gonzalez Ortega,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07KCH-161,Cachanilla,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07MOE-161,Mexican Oriente,161,No Aplica,Indirectamente Modelada,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07MXI-161,Mexicali Dos,161,Directamente Modelada,Indirectamente Modelada,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07MXI-230,Mexicali Dos,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07NZI-161,Nacozari,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07OZA-230,Orizaba,230,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07PKD-161,Packard,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07RIN-161,Rio Nuevo,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07ROA-230,Rosita,230,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07RUM-69,Rumorosa,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,3,TECATE,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07SIS-161,Santa Isabel,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07SKW-161,Skyworks,161,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07STB-230,Sanchez Taboada,230,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07TEK-230,Tecnologico,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07VPA-230,Valle de Puebla,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07WIS-230,Wisteria,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,MEXICALI,07XCO-230,Xochimilco,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,MEXICALI
BCA,BAJA CALIFORNIA,SANLUIS,07CHQ-230,Chapultepec,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26,SONORA,55,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07HGO-161,Hidalgo,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26,SONORA,55,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07PID-161,Parque Industrial,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26,SONORA,55,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07PID-230,Parque Industrial,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26,SONORA,55,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07RZC-161,Ruiz Cortinez,161,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,2,BAJA CALIFORNIA,2,MEXICALI,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,SANLUIS,07SRY-230,San Luis Rey,230,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,VALLE,BAJA CALIFORNIA,SAN LUIS,BAJA CALIFORNIA,26,SONORA,55,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO
BCA,BAJA CALIFORNIA,TIJUANA,07BJO-69,Bajio,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07CAE-69,Carga particular en linea de transmision MEP-63720-DRA,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07CES-69,Carga particular en linea de transmision MEP-63480-TJI,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07CNA-69,Cardenas,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07DRA-69,Durazno,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07END-69,Encinal Dos,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,3,TECATE,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07ENL-69,Encinal,69,No Aplica,Indirectamente Modelada,Directamente Modelada,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,3,TECATE,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FCO-69,Francisco Villa,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FLO-69,El Florido,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FOR-69,Formosa,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07FTA-69,Frontera,69,No Aplica,Indirectamente Modelada,No Aplica,Indirectamente Modelada,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07GER-69,Guerrero,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07HMO-69,Hipodromo,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07HUN-69,Hunter,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07INA-69,Industrial,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07IOP-69,P. I. Otay Matamoros,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07JOY-115,La Joya,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07LGO-69,Lago,69,No Aplica,Indirectamente Modelada,No Aplica,Indirectamente Modelada,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07LMS-69,La Mesa,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07MAB-69,Mabamex,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07MEP-230,Metropoli Potencia,230,Directamente Modelada,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07MEP-69,Metropoli Potencia,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07MSN-115,Mision,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,1,ENSENADA,ENSENADA
BCA,BAJA CALIFORNIA,TIJUANA,07MXC-69,Mexico,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07NEL-69,Nellcor,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07PAF-69,Pacifico,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07PAP-69,Panamericana Potencia,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07PJZ-115,Presidente Juarez,115,Directamente Modelada,Indirectamente Modelada,Directamente Modelada,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07PJZ-230,Presidente Juarez,230,Directamente Modelada,No Aplica,Directamente Modelada,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07PNM-115,Panamericana,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07PNU-115,Puerto Nuevo,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07POP-115,Popotla,115,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07RII-69,Rio,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07RSI-69,RSI Home Product,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07RUB-69,Rubi,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
BCA,BAJA CALIFORNIA,TIJUANA,07SED-69,SEDUE,69,No Aplica,Indirectamente Modelada,No Aplica,No Aplica,COSTA,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,2,BAJA CALIFORNIA,4,TIJUANA,TIJUANA
